Rec #,Lang,Course,Lesson,Cluster,Qz #,Spkr,Cue,Transliteration,MP3 Snippet File Name,MP3 Audio ISBN,Premium ISBN,Skills
40,HE,Hebrew 2,2 ,,10R,F,"לא, לא ראיתי חברים.","Lo, lo raeeti chaverim.",9781797114514_Hebrew_2_QZ_040.mp3,9781442330801,9781797114514,5
41,HE,Hebrew 2,3 ,,01Q,N,I didn’t have much time. (m),,9781797114514_Hebrew_2_QZ_041.mp3,9781442330801,9781797114514,17
42,HE,Hebrew 2,3 ,,01R,M,לא היה לי הרבה זמן.,Lo haya li harbe zman.,9781797114514_Hebrew_2_QZ_042.mp3,9781442330801,9781797114514,17
43,HE,Hebrew 2,3 ,,02Q,N,I had a lot of work. (m),,9781797114514_Hebrew_2_QZ_043.mp3,9781442330801,9781797114514,20
44,HE,Hebrew 2,3 ,,02R,M,היתה לי הרבה עבודה.,Hayta li harbe avoda.,9781797114514_Hebrew_2_QZ_044.mp3,9781442330801,9781797114514,20
45,HE,Hebrew 2,3 ,,03Q,N,What did you do today? (f),,9781797114514_Hebrew_2_QZ_045.mp3,9781442330801,9781797114514,1
46,HE,Hebrew 2,3 ,,03R,M,מה עשית היום?,Ma asit ha'yom?,9781797114514_Hebrew_2_QZ_046.mp3,9781442330801,9781797114514,1
47,HE,Hebrew 2,3 ,,04Q,N,When did you arrive? (pl),,9781797114514_Hebrew_2_QZ_047.mp3,9781442330801,9781797114514,18
48,HE,Hebrew 2,3 ,,04R,M,מתי היגעתם?,Matai higa’atem?,9781797114514_Hebrew_2_QZ_048.mp3,9781442330801,9781797114514,18
49,HE,Hebrew 2,3 ,,05Q,N,We arrived last night.,,9781797114514_Hebrew_2_QZ_049.mp3,9781442330801,9781797114514,18
50,HE,Hebrew 2,3 ,,05R,M,היגענו אתמול בערב.,Higa’nu etmol ba'erev.,9781797114514_Hebrew_2_QZ_050.mp3,9781442330801,9781797114514,18
51,HE,Hebrew 2,3 ,,06Q,N,We need a car.,,9781797114514_Hebrew_2_QZ_051.mp3,9781442330801,9781797114514,18
52,HE,Hebrew 2,3 ,,06R,F,אנחנו צריכים מכונית.,Anachnu tzrichim mechonit.,9781797114514_Hebrew_2_QZ_052.mp3,9781442330801,9781797114514,18
53,HE,Hebrew 2,3 ,,07Q,N,Our son arrived this morning.,,9781797114514_Hebrew_2_QZ_053.mp3,9781442330801,9781797114514,"5,18"
54,HE,Hebrew 2,3 ,,07R,F,הבן שלנו הגיע הבוקר.,Ha'ben shelanu higia haboker.,9781797114514_Hebrew_2_QZ_054.mp3,9781442330801,9781797114514,"5,18"
55,HE,Hebrew 2,3 ,,08Q,N,We want to see our son.,,9781797114514_Hebrew_2_QZ_055.mp3,9781442330801,9781797114514,5
56,HE,Hebrew 2,3 ,,08R,F,אנחנו רוצים לראות את הבן שלנו.,Anachnu rotzim lir'ot et ha'ben shelanu.,9781797114514_Hebrew_2_QZ_056.mp3,9781442330801,9781797114514,5
57,HE,Hebrew 2,3 ,,09Q,N,Our son didn’t stay in America.,,9781797114514_Hebrew_2_QZ_057.mp3,9781442330801,9781797114514,5
58,HE,Hebrew 2,3 ,,09R,F,הבן שלנו לא נשאר באמריקה.,Ha'ben shelanu lo nish’ar be'America,9781797114514_Hebrew_2_QZ_058.mp3,9781442330801,9781797114514,5
59,HE,Hebrew 2,3 ,,10Q,N,Yesterday morning I didn’t see anything.,,9781797114514_Hebrew_2_QZ_059.mp3,9781442330801,9781797114514,18
60,HE,Hebrew 2,3 ,,10R,F,אתמול בבוקר לא ראיתי כלום.,Etmol ba'boker lo raeeti kloom.,9781797114514_Hebrew_2_QZ_060.mp3,9781442330801,9781797114514,18
61,HE,Hebrew 2,4 ,,01Q,N,I’m familiar with Eilat. (m),,9781797114514_Hebrew_2_QZ_061.mp3,9781442330801,9781797114514,18
62,HE,Hebrew 2,4 ,,01R,M,אני מכירה את אילת.,Ani makeer et Eilat.,9781797114514_Hebrew_2_QZ_062.mp3,9781442330801,9781797114514,18
63,HE,Hebrew 2,4 ,,02Q,N,I’m not yet familiar with Eilat. (m),,9781797114514_Hebrew_2_QZ_063.mp3,9781442330801,9781797114514,18
64,HE,Hebrew 2,4 ,,02R,M,אני עוד לא מכיר את אילת.,Ani od lo makeer et Eilat.,9781797114514_Hebrew_2_QZ_064.mp3,9781442330801,9781797114514,18
65,HE,Hebrew 2,4 ,,03Q,N,I have to leave. (m),,9781797114514_Hebrew_2_QZ_065.mp3,9781442330801,9781797114514,18
66,HE,Hebrew 2,4 ,,03R,M,אני צריך לעזוב.,Ani tzarich la’azov.,9781797114514_Hebrew_2_QZ_066.mp3,9781442330801,9781797114514,18
67,HE,Hebrew 2,4 ,,04Q,N,Are you familiar with Eilat? (m),,9781797114514_Hebrew_2_QZ_067.mp3,9781442330801,9781797114514,18
68,HE,Hebrew 2,4 ,,04R,M,אתה מכיר את אילת?,Ata makeer et Eilat?,9781797114514_Hebrew_2_QZ_068.mp3,9781442330801,9781797114514,18
69,HE,Hebrew 2,4 ,,05Q,N,Do you want to go into town? (on foot) (m),,9781797114514_Hebrew_2_QZ_069.mp3,9781442330801,9781797114514,1
70,HE,Hebrew 2,4 ,,05R,M,אתה רוצה ללכת העירה?,Ata rotze lalechet haeera?,9781797114514_Hebrew_2_QZ_070.mp3,9781442330801,9781797114514,1
71,HE,Hebrew 2,4 ,,06Q,N,Not yet.,,9781797114514_Hebrew_2_QZ_071.mp3,9781442330801,9781797114514,7
72,HE,Hebrew 2,4 ,,06R,F,עוד לא.,Od lo.,9781797114514_Hebrew_2_QZ_072.mp3,9781442330801,9781797114514,7
73,HE,Hebrew 2,4 ,,07Q,N,I have to go into town. (on foot) (f),,9781797114514_Hebrew_2_QZ_073.mp3,9781442330801,9781797114514,1
74,HE,Hebrew 2,4 ,,07R,F,אני צריכה ללכת העירה.,Ani tzricha lalechet haeera.,9781797114514_Hebrew_2_QZ_074.mp3,9781442330801,9781797114514,1
75,HE,Hebrew 2,4 ,,08Q,N,Do you like Eilat? (m),,9781797114514_Hebrew_2_QZ_075.mp3,9781442330801,9781797114514,18
76,HE,Hebrew 2,4 ,,08R,F,אילת מוצאת חן בעיניך?,Eilat motzet chen be'einecha?,9781797114514_Hebrew_2_QZ_076.mp3,9781442330801,9781797114514,18
77,HE,Hebrew 2,4 ,,09Q,N,Have you been in Eilat? (m),,9781797114514_Hebrew_2_QZ_077.mp3,9781442330801,9781797114514,18
78,HE,Hebrew 2,4 ,,09R,F,היית באילת?,Ha'eeta be'Eilat?,9781797114514_Hebrew_2_QZ_078.mp3,9781442330801,9781797114514,18
79,HE,Hebrew 2,4 ,,10Q,N,Are you familiar with Eilat? (f),,9781797114514_Hebrew_2_QZ_079.mp3,9781442330801,9781797114514,18
80,HE,Hebrew 2,4 ,,10R,F,את מכירה את אילת?,At makeera et Eilat?,9781797114514_Hebrew_2_QZ_080.mp3,9781442330801,9781797114514,18
81,HE,Hebrew 2,5 ,,01Q,N,Do you know his wife? (to f),,9781797114514_Hebrew_2_QZ_081.mp3,9781442330801,9781797114514,5
82,HE,Hebrew 2,5 ,,01R,M,את מכירה את אשתו?,At makeera et ishto?,9781797114514_Hebrew_2_QZ_082.mp3,9781442330801,9781797114514,5
83,HE,Hebrew 2,5 ,,02Q,N,Do you know Avi Doron? (to m),,9781797114514_Hebrew_2_QZ_083.mp3,9781442330801,9781797114514,7
84,HE,Hebrew 2,5 ,,02R,M,אתה מכיר את אבי דורון?,Ata makeer et Avi Doron?,9781797114514_Hebrew_2_QZ_084.mp3,9781442330801,9781797114514,7
85,HE,Hebrew 2,5 ,,03Q,N,I know him very well. (m),,9781797114514_Hebrew_2_QZ_085.mp3,9781442330801,9781797114514,10
86,HE,Hebrew 2,5 ,,03R,M,אני מכיר אותו טוב מאוד.,Ani makeer oto tov meod.,9781797114514_Hebrew_2_QZ_086.mp3,9781442330801,9781797114514,10
87,HE,Hebrew 2,5 ,,04Q,N,I don’t know his wife. (m),,9781797114514_Hebrew_2_QZ_087.mp3,9781442330801,9781797114514,5
88,HE,Hebrew 2,5 ,,04R,M,אני לא מכיר את אשתו.,Ani lo makeer et ishto.,9781797114514_Hebrew_2_QZ_088.mp3,9781442330801,9781797114514,5
89,HE,Hebrew 2,5 ,,05Q,N,Are you familiar with him? (to m),,9781797114514_Hebrew_2_QZ_089.mp3,9781442330801,9781797114514,7
90,HE,Hebrew 2,5 ,,05R,M,אתה מכיר אותו?,Ata makeer oto?,9781797114514_Hebrew_2_QZ_090.mp3,9781442330801,9781797114514,7
91,HE,Hebrew 2,5 ,,06Q,N,Have you been in Caesaria?,,9781797114514_Hebrew_2_QZ_091.mp3,9781442330801,9781797114514,18
92,HE,Hebrew 2,5 ,,06R,F,היית בקיסריה?,Ha'eeta be'Keisaria?,9781797114514_Hebrew_2_QZ_092.mp3,9781442330801,9781797114514,18
93,HE,Hebrew 2,5 ,,07Q,N,He’s a friend of mine.,,9781797114514_Hebrew_2_QZ_093.mp3,9781442330801,9781797114514,5
94,HE,Hebrew 2,5 ,,07R,F,הוא חבר שלי.,Hu chaver sheli.,9781797114514_Hebrew_2_QZ_094.mp3,9781442330801,9781797114514,5
95,HE,Hebrew 2,5 ,,08Q,N,I like him a lot.,,9781797114514_Hebrew_2_QZ_095.mp3,9781442330801,9781797114514,7
96,HE,Hebrew 2,5 ,,08R,F,הוא מאוד מוצא חן בעיני.,Hu meod motzet chen be'ainai.,9781797114514_Hebrew_2_QZ_096.mp3,9781442330801,9781797114514,7
97,HE,Hebrew 2,5 ,,09Q,N,I didn’t stay at the hotel.,,9781797114514_Hebrew_2_QZ_097.mp3,9781442330801,9781797114514,18
98,HE,Hebrew 2,5 ,,09R,F,לא נשארתי במלון.,Lo nish’arti ba'malon.,9781797114514_Hebrew_2_QZ_098.mp3,9781442330801,9781797114514,18
99,HE,Hebrew 2,5 ,,10Q,N,What’s his name?,,9781797114514_Hebrew_2_QZ_099.mp3,9781442330801,9781797114514,10
100,HE,Hebrew 2,5 ,,10R,F,מה שמו?,Ma shmo?,9781797114514_Hebrew_2_QZ_100.mp3,9781442330801,9781797114514,10
101,HE,Hebrew 2,5 ,,11Q,N,"Yes, I know him. (m)",,9781797114514_Hebrew_2_QZ_101.mp3,9781442330801,9781797114514,7
102,HE,Hebrew 2,5 ,,11R,M,"כן, אני מכיר אותו.","Ken, ani makeer oto.",9781797114514_Hebrew_2_QZ_102.mp3,9781442330801,9781797114514,7
103,HE,Hebrew 2,6 ,,01Q,N,She’s coming to visit me.,,9781797114514_Hebrew_2_QZ_103.mp3,9781442330801,9781797114514,1
104,HE,Hebrew 2,6 ,,01R,M,היא באה לבקר אותי.,Hee ba’a le'vaker oti.,9781797114514_Hebrew_2_QZ_104.mp3,9781442330801,9781797114514,1
105,HE,Hebrew 2,6 ,,02Q,N,I haven’t seen her in a year.,,9781797114514_Hebrew_2_QZ_105.mp3,9781442330801,9781797114514,7
106,HE,Hebrew 2,6 ,,02R,M,לא ראיתי אותה שנה.,Lo raeeti ota shana.,9781797114514_Hebrew_2_QZ_106.mp3,9781442330801,9781797114514,7
107,HE,Hebrew 2,6 ,,03Q,N,"My wife, she had a lot of work yesterday.",,9781797114514_Hebrew_2_QZ_107.mp3,9781442330801,9781797114514,"5,20"
108,HE,Hebrew 2,6 ,,03R,M,"אשתי, הייתה לה הרבה עבודה אתמול.","Ishti, hay’ta la harbe avoda etmol.",9781797114514_Hebrew_2_QZ_108.mp3,9781442330801,9781797114514,"5,20"
109,HE,Hebrew 2,6 ,,04Q,N,What’s her name?,,9781797114514_Hebrew_2_QZ_109.mp3,9781442330801,9781797114514,"10,16"
110,HE,Hebrew 2,6 ,,04R,M,מה שמה?,Ma shma?,9781797114514_Hebrew_2_QZ_110.mp3,9781442330801,9781797114514,"10,16"
111,HE,Hebrew 2,6 ,,05Q,N,But you don’t know her. (to m),,9781797114514_Hebrew_2_QZ_111.mp3,9781442330801,9781797114514,7
112,HE,Hebrew 2,6 ,,05R,M,אבל אתה לא מכיר אותה.,Aval ata lo makeer ota.,9781797114514_Hebrew_2_QZ_112.mp3,9781442330801,9781797114514,7
113,HE,Hebrew 2,6 ,,06Q,N,I’ve never been in Eilat.,,9781797114514_Hebrew_2_QZ_113.mp3,9781442330801,9781797114514,18
114,HE,Hebrew 2,6 ,,06R,F,אני אף פעם לא הייתי באילת.,Ani af pa’am lo haeeti b’Eilat.,9781797114514_Hebrew_2_QZ_114.mp3,9781442330801,9781797114514,18
115,HE,Hebrew 2,6 ,,07Q,N,I never drink wine. (f),,9781797114514_Hebrew_2_QZ_115.mp3,9781442330801,9781797114514,"6,16"
116,HE,Hebrew 2,6 ,,07R,F,אני אף פעם לא שותה יין.,Ani af pa’am lo shota yayin.,9781797114514_Hebrew_2_QZ_116.mp3,9781442330801,9781797114514,"6,16"
117,HE,Hebrew 2,6 ,,08Q,N,I always drink coffee. (f),,9781797114514_Hebrew_2_QZ_117.mp3,9781442330801,9781797114514,"6,16"
118,HE,Hebrew 2,6 ,,08R,F,אני תמיד שותה קפה.,Ani tamid shota kafe.,9781797114514_Hebrew_2_QZ_118.mp3,9781442330801,9781797114514,"6,16"
119,HE,Hebrew 2,6 ,,09Q,N,A friend (f) of mine is coming today.,,9781797114514_Hebrew_2_QZ_119.mp3,9781442330801,9781797114514,5
120,HE,Hebrew 2,6 ,,09R,F,חברה שלי באה היום.,Chavera sheli ba’a ha'yom.,9781797114514_Hebrew_2_QZ_120.mp3,9781442330801,9781797114514,5
121,HE,Hebrew 2,6 ,,10Q,N,My colleague (f) comes from America.,,9781797114514_Hebrew_2_QZ_121.mp3,9781442330801,9781797114514,7
122,HE,Hebrew 2,6 ,,10R,F,הקןלגה שלי באה מאמריקה.,Ha'kolega sheli ba’a me’America.,9781797114514_Hebrew_2_QZ_122.mp3,9781442330801,9781797114514,7
123,HE,Hebrew 2,7 ,,01Q,N,I’ve never been there.,,9781797114514_Hebrew_2_QZ_123.mp3,9781442330801,9781797114514,7
124,HE,Hebrew 2,7 ,,01R,M,אף פעם לא הייתי שם.,Af pa’am lo haeeti sham.,9781797114514_Hebrew_2_QZ_124.mp3,9781442330801,9781797114514,7
125,HE,Hebrew 2,7 ,,02Q,N,We can take a taxi,,9781797114514_Hebrew_2_QZ_125.mp3,9781442330801,9781797114514,18
126,HE,Hebrew 2,7 ,,02R,M,אנחנו יכולים לקחת טקסי.,Anachnu ycholim lakchat taxi.,9781797114514_Hebrew_2_QZ_126.mp3,9781442330801,9781797114514,18
127,HE,Hebrew 2,7 ,,03Q,N,We can go on foot.,,9781797114514_Hebrew_2_QZ_127.mp3,9781442330801,9781797114514,1
128,HE,Hebrew 2,7 ,,03R,M,אנחנו יכולים ללכת ברגל.,Anachnu yecholim lalechet baregel.,9781797114514_Hebrew_2_QZ_128.mp3,9781442330801,9781797114514,1
129,HE,Hebrew 2,7 ,,04Q,N,I haven’t seen my colleague in a year.,,9781797114514_Hebrew_2_QZ_129.mp3,9781442330801,9781797114514,7
130,HE,Hebrew 2,7 ,,04R,M,לא ראיתי את הקולגה שלי שנה.,Lo raeeti et ha'kolega sheli shana.,9781797114514_Hebrew_2_QZ_130.mp3,9781442330801,9781797114514,7
131,HE,Hebrew 2,7 ,,05Q,N,"From time to time, I drink beer.",,9781797114514_Hebrew_2_QZ_131.mp3,9781442330801,9781797114514,6
132,HE,Hebrew 2,7 ,,05R,M,"מזמן לזמן, אני שותה בירה.","Mi’zman le’zman, ani shota beera.",9781797114514_Hebrew_2_QZ_132.mp3,9781442330801,9781797114514,6
133,HE,Hebrew 2,7 ,,06Q,N,The two of them come from America.,,9781797114514_Hebrew_2_QZ_133.mp3,9781442330801,9781797114514,12
134,HE,Hebrew 2,7 ,,06R,F,שניהם באים מאמריקה.,Shnei'hem baim me'America.,9781797114514_Hebrew_2_QZ_134.mp3,9781442330801,9781797114514,12
135,HE,Hebrew 2,7 ,,07Q,N,The two of us can take a taxi.,,9781797114514_Hebrew_2_QZ_135.mp3,9781442330801,9781797114514,"12,18"
136,HE,Hebrew 2,7 ,,07R,F,שנינו יכולים לקחת טקסי.,Shneinu ycholim lakchat taxi.,9781797114514_Hebrew_2_QZ_136.mp3,9781442330801,9781797114514,"12,18"
137,HE,Hebrew 2,7 ,,08Q,N,The two of us can go on foot.,,9781797114514_Hebrew_2_QZ_137.mp3,9781442330801,9781797114514,12
138,HE,Hebrew 2,7 ,,08R,F,שנינו יכולים ללכת ברגל.,Shneinu yecholim la'lechet baregel.,9781797114514_Hebrew_2_QZ_138.mp3,9781442330801,9781797114514,12
139,HE,Hebrew 2,7 ,,09Q,N,They've lived in Eilat three years.,,9781797114514_Hebrew_2_QZ_139.mp3,9781442330801,9781797114514,"7,12,18"
140,HE,Hebrew 2,7 ,,09R,F,הם גרים באילת שלוש שנים.,Hem garim be'Eilat shalosh shanim,9781797114514_Hebrew_2_QZ_140.mp3,9781442330801,9781797114514,"7,12,18"
141,HE,Hebrew 2,7 ,,10Q,N,We went there yesterday.,,9781797114514_Hebrew_2_QZ_141.mp3,9781442330801,9781797114514,18
142,HE,Hebrew 2,7 ,,10R,F,הלכנו לשם אתמול.,Halachnu le’sham etmol.,9781797114514_Hebrew_2_QZ_142.mp3,9781442330801,9781797114514,18
143,HE,Hebrew 2,8 ,,01Q,N,Until what time ...?,,9781797114514_Hebrew_2_QZ_143.mp3,9781442330801,9781797114514,17
144,HE,Hebrew 2,8 ,,01R,M,עד איזה שעה ...?,Ad eize sha’a ...?,9781797114514_Hebrew_2_QZ_144.mp3,9781442330801,9781797114514,17
145,HE,Hebrew 2,8 ,,02Q,N,Everything’s OK.,,9781797114514_Hebrew_2_QZ_145.mp3,9781442330801,9781797114514,7
146,HE,Hebrew 2,8 ,,02R,M,הכל בסדר.,Ha'kol bseder.,9781797114514_Hebrew_2_QZ_146.mp3,9781442330801,9781797114514,7
147,HE,Hebrew 2,8 ,,03Q,N,My colleague is coming to visit us.,,9781797114514_Hebrew_2_QZ_147.mp3,9781442330801,9781797114514,7
148,HE,Hebrew 2,8 ,,03R,M,הקולגה שלי באה לבקר אותנו.,Hakolega sheli ba’a le'vaker otanu.,9781797114514_Hebrew_2_QZ_148.mp3,9781442330801,9781797114514,7
149,HE,Hebrew 2,8 ,,04Q,N,Hi!  How’s it going? (m),,9781797114514_Hebrew_2_QZ_149.mp3,9781442330801,9781797114514,"10,16"
150,HE,Hebrew 2,8 ,,04R,M,הי! מה נשמע?,Hi!  Ma nishma?,9781797114514_Hebrew_2_QZ_150.mp3,9781442330801,9781797114514,"10,16"
151,HE,Hebrew 2,8 ,,05Q,N,First I have to buy wine. (m),,9781797114514_Hebrew_2_QZ_151.mp3,9781442330801,9781797114514,"6,14"
152,HE,Hebrew 2,8 ,,05R,M,קודם אני צריך לקנות יין.,Kodem ani tzarich liknot yaeen.,9781797114514_Hebrew_2_QZ_152.mp3,9781442330801,9781797114514,"6,14"
153,HE,Hebrew 2,8 ,,06Q,N,How’s it going? (m),,9781797114514_Hebrew_2_QZ_153.mp3,9781442330801,9781797114514,"10,16"
154,HE,Hebrew 2,8 ,,06R,F,מה נשמע?,Ma nishma?,9781797114514_Hebrew_2_QZ_154.mp3,9781442330801,9781797114514,"10,16"
155,HE,Hebrew 2,8 ,,07Q,N,What is your colleague’s (m) name?,,9781797114514_Hebrew_2_QZ_155.mp3,9781442330801,9781797114514,"7,10"
156,HE,Hebrew 2,8 ,,07R,F,מה שם הקולגה שלך?,Ma shem ha'kolega shelcha?,9781797114514_Hebrew_2_QZ_156.mp3,9781442330801,9781797114514,"7,10"
157,HE,Hebrew 2,8 ,,08Q,N,Her husband’s name is Dan Carter.,,9781797114514_Hebrew_2_QZ_157.mp3,9781442330801,9781797114514,"5,10"
158,HE,Hebrew 2,8 ,,08R,F,שם בעלה דן קרטר.,Shem ba’ala Dan Carter.,9781797114514_Hebrew_2_QZ_158.mp3,9781442330801,9781797114514,"5,10"
159,HE,Hebrew 2,8 ,,09Q,N,Until what time are the stores open?,,9781797114514_Hebrew_2_QZ_159.mp3,9781442330801,9781797114514,"14,16,17"
160,HE,Hebrew 2,8 ,,09R,F,עד איזה שעה החנויות פתוחות?,Ad eize sha’a ha'chanuyot ptuchot?,9781797114514_Hebrew_2_QZ_160.mp3,9781442330801,9781797114514,"14,16,17"
161,HE,Hebrew 2,8 ,,10Q,N,What’s his wife’s name?,,9781797114514_Hebrew_2_QZ_161.mp3,9781442330801,9781797114514,"5,16"
162,HE,Hebrew 2,8 ,,10R,F,מה שם אשתו?,Ma shem ishto?,9781797114514_Hebrew_2_QZ_162.mp3,9781442330801,9781797114514,"5,16"
163,HE,Hebrew 2,9 ,,01Q,N,At ten to five.,,9781797114514_Hebrew_2_QZ_163.mp3,9781442330801,9781797114514,12
164,HE,Hebrew 2,9 ,,01R,M,בעשרה לחמש.,Be'asara le’chamesh.,9781797114514_Hebrew_2_QZ_164.mp3,9781442330801,9781797114514,12
